2026-02-05T11:12:38.119495, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:40.191244, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:41.220686, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:44.321993, 18 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:45.355777, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:50.531846, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:51.577422, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:12:52.611167, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:12:54.681961, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:55.717209, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:58.823019, 19 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:12:59.858218, 21 %rH, 36 C, 981 mbar,22,0,
2026-02-05T11:13:00.893395, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:13:01.933888, 20 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:13:02.970635, 21 %rH, 36 C, 981 mbar,24,0,
2026-02-05T11:13:04.001761, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:13:06.080704, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:13:07.116038, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:13:08.139182, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:13:12.288318, 20 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:13:13.316526, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:13:14.348495, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:13:15.383776, 21 %rH, 36 C, 981 mbar,23,0,
